1,Lincoln,Continental,1992,9
2,Mitsubishi,Eclipse,2003,24
3,Saab,9-3,2002,24
4,Cadillac,CTS-V,2010,10
5,GMC,Yukon,1998,23
6,Audi,5000CS,1988,28
7,Dodge,Avenger,1995,3
8,Pontiac,LeMans,1992,19
9,Mercedes-Benz,SLK-Class,2006,20
10,Jeep,Liberty,2002,1
11,Ford,E-Series,2007,23
12,Saab,9000,1989,24
13,Ford,Econoline E350,1999,3
14,Volvo,S60,2006,12
15,Pontiac,Sunfire,2003,4
16,Pontiac,GTO,1969,11
17,Ford,Escape,2003,15
18,Chevrolet,Astro,2004,20
19,Porsche,911,2007,26
20,Bentley,Continental Flying Spur,2009,1
21,Toyota,Matrix,2003,5
22,Volkswagen,Touareg,2008,1
23,Lincoln,Town Car,2006,26
24,Bentley,Continental,2012,17
25,Honda,Fit,2010,27
26,Volkswagen,Cabriolet,1992,10
27,Jaguar,X-Type,2007,18
28,Chevrolet,Colorado,2011,24
29,Mercedes-Benz,S-Class,1993,22
30,Mitsubishi,Eclipse,1994,30
31,Mercury,Sable,1986,23
32,Chevrolet,Avalanche 1500,2005,18
33,Land Rover,Discovery,1999,7
34,Isuzu,Amigo,1994,16
35,GMC,Envoy XUV,2004,12
36,Porsche,911,1993,25
37,Ford,Escape,2009,17
38,Hyundai,Entourage,2007,23
39,Ford,F250,1984,16
40,Volvo,C70,1999,13
41,Pontiac,6000,1986,17
42,Mercury,Capri,1993,1
43,Cadillac,XLR,2006,12
44,Cadillac,Eldorado,1993,25
45,Suzuki,Vitara,2001,10
46,GMC,3500,1997,12
47,Ford,Transit Connect,2013,4
48,Chevrolet,Metro,2000,6
49,Chevrolet,Silverado 2500,2001,15
50,Chevrolet,Camaro,1973,26
51,Audi,Quattro,1985,23
52,Dodge,Ram Van 2500,2002,25
53,Audi,A5,2012,25
54,Chevrolet,APV,1992,8
55,Hummer,H2,2009,24
56,Oldsmobile,Achieva,1997,26
57,Chevrolet,Corvette,1984,3
58,Ford,Expedition,2011,16
59,Subaru,Legacy,2003,17
60,Ford,Festiva,1992,25
61,Aston Martin,DBS,2009,11
62,Honda,Civic,2000,30
63,GMC,Canyon,2009,25
64,Chevrolet,Express 1500,1998,19
65,Honda,Civic,1991,6
66,Toyota,Highlander,2011,13
67,Lexus,GS,1994,29
68,Lexus,GX,2007,11
69,Honda,S2000,2007,17
70,Chevrolet,Silverado 1500,2010,2
71,Isuzu,i-280,2006,4
72,Volvo,C70,2013,25
73,Dodge,Ram 1500,2004,21
74,Dodge,Neon,1999,17
75,Chevrolet,Silverado 1500,2007,11
76,BMW,X6 M,2012,27
77,Chevrolet,Malibu,2010,22
78,Mazda,Mazda5,2010,4
79,Subaru,Legacy,1996,6
80,Ford,Bronco II,1989,1
81,Cadillac,Escalade ESV,2008,24
82,Toyota,MR2,1993,10
83,Kia,Forte,2010,29
84,Volkswagen,Scirocco,1984,22
85,Porsche,944,1986,8
86,Pontiac,Bonneville,2003,30
87,Mitsubishi,Excel,1987,13
88,Lexus,ES,2006,27
89,Mercedes-Benz,SLK-Class,2002,27
90,Maybach,62,2003,13
91,Saab,900,1986,12
92,Oldsmobile,Alero,2004,10
93,Porsche,944,1988,26
94,Ford,Explorer Sport,2003,28
95,Land Rover,LR3,2008,17
96,Volvo,S60,2005,9
97,Chevrolet,Silverado 2500,2011,13
98,Mercedes-Benz,300SE,1993,28
99,Mercury,Grand Marquis,1989,6
100,Ford,Crown Victoria,1993,23
101,Lincoln,Navigator,2005,1
102,Pontiac,Grand Prix,1967,11
103,Maserati,Spyder,2004,30
104,Subaru,Legacy,1997,9
105,Ford,Aerostar,1986,13
106,Toyota,Yaris,2008,12
107,Jeep,Wrangler,2005,5
108,Ford,E-Series,1989,13
109,Mazda,Familia,1986,9
110,Toyota,Celica,1995,4
111,GMC,Sonoma,2003,15
112,Pontiac,Montana,2005,4
113,Mazda,Familia,1985,28
114,Eagle,Vision,1995,13
115,Maybach,57,2005,10
116,Chevrolet,Corvette,1954,30
117,Hummer,H1,1997,8
